BBH_score_clustered,BBH_se,BBH_nsubtasks,MUSR_score_clustered,MUSR_se,MUSR_nsubtasks,model
0.5406415512767856,0.006228927346357597,24,0.45169791666666664,0.017791140515908518,3,CohereForAI/c4ai-command-r-v01
0.5502642151855635,0.0062691700527733344,24,0.41251041666666666,0.017500323027732786,3,CohereForAI/c4ai-command-r7b-12-2024
0.3881030915955452,0.006086030593904547,24,0.4080729166666666,0.017599765165506903,3,Columbia-NLP/LION-Gemma-2b-dpo-v1.0
0.38958362107068756,0.006127089986886364,24,0.42791666666666667,0.017768480246406818,3,Columbia-NLP/LION-Gemma-2b-odpo-v1.0
0.38787792761611906,0.00614544744361552,24,0.4027395833333333,0.017541251636681784,3,Columbia-NLP/LION-Gemma-2b-sft-v1.0
0.5028481044452987,0.006265224659314733,24,0.40971874999999996,0.017387079130869423,3,Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0
0.5023929881802022,0.006264194720308354,24,0.40575,0.017338687306123875,3,Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0
0.5087766443418147,0.0062703530656376795,24,0.45027083333333334,0.017875615955353707,3,Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0
0.6370093752306357,0.0059174012119980884,24,0.42603125000000003,0.01740155155773681,3,CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES
0.5402085849577634,0.00624605611205303,24,0.40330208333333334,0.017416601873441146,3,CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES
0.6207548093635429,0.005994232888664338,24,0.44134375,0.017791192978455276,3,CombinHorizon/YiSM-blossom5.1-34B-SLERP
0.692924708291253,0.0056700505569991615,24,0.42072916666666665,0.017342576801424186,3,CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES
0.6335891556421077,0.005901936367941025,24,0.42603125000000003,0.0174175454889664,3,CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES
0.6955174427138592,0.005646213011230647,24,0.43139583333333337,0.017279887456145473,3,CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES
0.438315337642466,0.006163350924635946,24,0.3367604166666667,0.01654106123794816,3,ContactDoctor/Bio-Medical-3B-CoT-012025
